               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.013208,            0.010242,            0.023164,             0.84427,             0.87728,             0.90821,             0.74967,           0.0047003,           0.0031084,           0.0049535,             0.00307,             0.00307,             0.00307
                  37,             0.01488,            0.010128,            0.024148,             0.90147,             0.89948,             0.93649,             0.75717,           0.0056872,           0.0031871,           0.0043747,            0.002872,            0.002872,            0.002872
                  38,            0.013781,           0.0098179,            0.022892,             0.90867,              0.9204,             0.94499,              0.7704,           0.0049283,           0.0031325,           0.0042547,            0.002674,            0.002674,            0.002674
                  39,            0.015681,            0.010128,            0.024442,             0.88526,             0.90245,             0.93681,              0.7746,           0.0048256,           0.0030713,           0.0044576,            0.002476,            0.002476,            0.002476
                  40,            0.013532,           0.0096214,            0.022827,             0.90503,             0.91682,              0.9409,             0.78084,           0.0046222,           0.0031775,           0.0039659,            0.002278,            0.002278,            0.002278
                  41,            0.014237,            0.009709,            0.022026,             0.92897,             0.92604,             0.94856,             0.78433,           0.0046249,           0.0031564,           0.0035776,             0.00208,             0.00208,             0.00208
                  42,            0.013581,           0.0094044,            0.022507,             0.92087,             0.92249,             0.94742,              0.7846,           0.0049089,           0.0030932,            0.003574,            0.001882,            0.001882,            0.001882
                  43,            0.013328,           0.0095687,            0.021573,             0.92854,             0.92929,              0.9517,             0.77628,           0.0051082,           0.0031141,           0.0032997,            0.001684,            0.001684,            0.001684
                  44,            0.013196,           0.0094339,            0.020214,             0.93621,             0.91625,             0.95248,             0.79907,           0.0043309,           0.0030096,           0.0032301,            0.001486,            0.001486,            0.001486
                  45,            0.012415,             0.00933,            0.020165,             0.93237,             0.94013,             0.95799,             0.80543,           0.0043034,           0.0030242,            0.002945,            0.001288,            0.001288,            0.001288
                  46,            0.012534,           0.0094077,            0.020295,             0.93762,             0.94164,             0.95869,             0.80834,           0.0042058,           0.0030261,           0.0028617,             0.00109,             0.00109,             0.00109
                  47,            0.013328,            0.009412,            0.021423,             0.92401,             0.93981,               0.956,             0.80639,           0.0041452,           0.0030086,           0.0029742,            0.000892,            0.000892,            0.000892
                  48,            0.012725,           0.0096477,            0.021739,             0.94359,             0.92424,             0.95741,             0.81018,           0.0041275,           0.0029806,           0.0028487,            0.000694,            0.000694,            0.000694
                  49,            0.012722,            0.009503,             0.02128,             0.92668,             0.94452,             0.95957,             0.81003,           0.0040928,           0.0029862,            0.002766,            0.000496,            0.000496,            0.000496
