               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01322,            0.010324,            0.021683,             0.83041,             0.92584,             0.86905,             0.71368,           0.0046473,           0.0031643,           0.0045889,             0.00307,             0.00307,             0.00307
                  37,            0.014305,            0.010154,             0.02221,             0.81381,             0.92304,              0.8621,             0.71119,           0.0049931,           0.0031852,           0.0047674,            0.002872,            0.002872,            0.002872
                  38,            0.013354,           0.0098408,            0.021282,             0.83163,             0.92678,             0.86572,             0.71119,           0.0044845,            0.003169,           0.0041683,            0.002674,            0.002674,            0.002674
                  39,            0.014905,            0.010168,            0.022673,             0.82265,             0.94472,             0.87239,             0.72307,           0.0045582,            0.003131,           0.0040229,            0.002476,            0.002476,            0.002476
                  40,            0.013139,           0.0097494,            0.020632,             0.82751,             0.93804,             0.87322,             0.71866,           0.0047714,           0.0031962,           0.0041345,            0.002278,            0.002278,            0.002278
                  41,             0.01461,            0.009956,            0.022597,              0.8116,             0.92035,             0.86555,             0.70995,           0.0045664,           0.0031359,           0.0045224,             0.00208,             0.00208,             0.00208
                  42,            0.013164,           0.0095619,            0.020479,             0.81979,              0.9295,             0.87682,             0.72555,            0.004588,           0.0030971,           0.0038666,            0.001882,            0.001882,            0.001882
                  43,            0.013246,           0.0096678,            0.019994,             0.81312,             0.93414,             0.87839,             0.72827,           0.0045233,           0.0031157,           0.0038893,            0.001684,            0.001684,            0.001684
                  44,            0.012739,           0.0096016,            0.019069,             0.83012,             0.94018,             0.88468,             0.73807,           0.0043209,           0.0031131,           0.0038271,            0.001486,            0.001486,            0.001486
                  45,            0.012046,           0.0094122,            0.019081,             0.83436,             0.94839,              0.8833,             0.73406,           0.0042492,           0.0030914,           0.0037315,            0.001288,            0.001288,            0.001288
                  46,            0.011969,           0.0093814,            0.018335,             0.83428,              0.9522,             0.88339,             0.73979,           0.0041597,           0.0030969,           0.0037129,             0.00109,             0.00109,             0.00109
                  47,            0.013216,           0.0094074,            0.019558,             0.83297,             0.94792,             0.88437,             0.74179,           0.0041024,           0.0030745,            0.003716,            0.000892,            0.000892,            0.000892
                  48,            0.012944,            0.009867,            0.020403,             0.82668,             0.95756,             0.88236,             0.74062,           0.0041289,            0.003052,           0.0036818,            0.000694,            0.000694,            0.000694
                  49,            0.012873,           0.0094865,            0.020947,             0.82881,             0.95041,             0.88184,             0.74223,           0.0041219,           0.0030447,           0.0037342,            0.000496,            0.000496,            0.000496
